Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,140,0,1860
2,3,0,1857
3,186,0,1671
4,177,0,1494
5,154,0,1340
6,117,0,1223
7,0,777,2000
8,4,0,1996
9,126,0,1870
10,180,0,1690
11,133,0,1557
12,140,0,1417
13,162,0,1255
14,0,745,2000
15,2,0,1998
16,18,0,1980
17,123,0,1857
18,86,0,1771
19,46,0,1725
20,26,0,1699
21,0,301,2000
22,137,0,1863
23,138,0,1725
24,200,0,1525
25,97,0,1428
26,122,0,1306
27,95,0,1211
28,0,789,2000
29,90,0,1910
30,33,0,1877
31,131,0,1746
32,174,0,1572
33,101,0,1471
34,162,0,1309
35,0,691,2000
36,23,0,1977
37,79,0,1898
38,1,0,1897
39,42,0,1855
40,91,0,1764
41,26,0,1738
42,0,262,2000
43,169,0,1831
44,176,0,1655
45,78,0,1577
46,128,0,1449
47,171,0,1278
48,153,0,1125
49,0,875,2000
